datetime,symbol,open,high,low,close,volume
2025-03-18 04:00:00,FOREXCOM:XAUUSD,3000.835,3001.865,3000.355,3000.48,0.0
2025-03-18 04:15:00,FOREXCOM:XAUUSD,3000.48,3001.06,3000.025,3000.115,0.0
2025-03-18 04:30:00,FOREXCOM:XAUUSD,3000.115,3000.91,3000.105,3000.28,0.0
2025-03-18 04:45:00,FOREXCOM:XAUUSD,3000.28,3000.775,3000.105,3000.34,0.0
2025-03-18 05:00:00,FOREXCOM:XAUUSD,3000.34,3001.29,3000.135,3001.025,0.0
2025-03-18 05:15:00,FOREXCOM:XAUUSD,3001.025,3002.55,3000.945,3001.565,0.0
2025-03-18 05:30:00,FOREXCOM:XAUUSD,3001.565,3002.885,3001.475,3002.465,0.0
2025-03-18 05:45:00,FOREXCOM:XAUUSD,3002.465,3002.48,2999.75,2999.92,0.0
2025-03-18 06:00:00,FOREXCOM:XAUUSD,2999.92,3002.31,2999.805,3000.875,0.0
2025-03-18 06:15:00,FOREXCOM:XAUUSD,3000.875,3002.98,2999.66,3002.385,0.0
2025-03-18 06:30:00,FOREXCOM:XAUUSD,3002.385,3003.62,3001.315,3001.815,0.0
2025-03-18 06:45:00,FOREXCOM:XAUUSD,3001.815,3001.855,2999.89,3001.63,0.0
2025-03-18 07:00:00,FOREXCOM:XAUUSD,3001.63,3001.855,2999.555,3001.37,0.0
2025-03-18 07:15:00,FOREXCOM:XAUUSD,3001.37,3005.0,3000.695,3004.3,0.0
2025-03-18 07:30:00,FOREXCOM:XAUUSD,3004.3,3005.26,3002.045,3004.3,0.0
2025-03-18 07:45:00,FOREXCOM:XAUUSD,3004.3,3008.425,3002.835,3005.765,0.0
2025-03-18 08:00:00,FOREXCOM:XAUUSD,3005.765,3006.56,3002.935,3006.1,0.0
2025-03-18 08:15:00,FOREXCOM:XAUUSD,3006.1,3007.745,3005.81,3006.855,0.0
2025-03-18 08:30:00,FOREXCOM:XAUUSD,3006.855,3007.94,3006.31,3007.275,0.0
2025-03-18 08:45:00,FOREXCOM:XAUUSD,3007.275,3012.205,3007.255,3010.98,0.0
2025-03-18 09:00:00,FOREXCOM:XAUUSD,3010.98,3013.545,3009.73,3013.4,0.0
2025-03-18 09:15:00,FOREXCOM:XAUUSD,3013.4,3015.12,3010.725,3012.81,0.0
2025-03-18 09:30:00,FOREXCOM:XAUUSD,3012.81,3012.905,3010.155,3010.62,0.0
2025-03-18 09:45:00,FOREXCOM:XAUUSD,3010.62,3012.61,3010.515,3011.55,0.0
2025-03-18 10:00:00,FOREXCOM:XAUUSD,3011.55,3012.48,3011.375,3012.04,0.0
2025-03-18 10:15:00,FOREXCOM:XAUUSD,3012.04,3013.75,3011.48,3013.645,0.0
2025-03-18 10:30:00,FOREXCOM:XAUUSD,3013.645,3015.105,3013.145,3014.11,0.0
2025-03-18 10:45:00,FOREXCOM:XAUUSD,3014.11,3017.145,3013.915,3014.54,0.0
2025-03-18 11:00:00,FOREXCOM:XAUUSD,3014.54,3014.895,3011.68,3012.0,0.0
2025-03-18 11:15:00,FOREXCOM:XAUUSD,3012.0,3012.095,3006.215,3007.575,0.0
2025-03-18 11:30:00,FOREXCOM:XAUUSD,3007.575,3013.6,3007.09,3013.52,0.0
2025-03-18 11:45:00,FOREXCOM:XAUUSD,3013.52,3014.19,3011.545,3012.055,0.0
2025-03-18 12:00:00,FOREXCOM:XAUUSD,3012.055,3017.315,3011.305,3015.315,0.0
2025-03-18 12:15:00,FOREXCOM:XAUUSD,3015.315,3016.285,3010.73,3011.915,0.0
2025-03-18 12:30:00,FOREXCOM:XAUUSD,3011.915,3013.83,3011.79,3013.755,0.0
